store_number,recency,frequency,monetary_value
5061,12,801,116912.49999999996
5062,10,526,36717.290000000023
5064,4,692,84880.12999999999
5065,4,411,28396.42
5068,3,5881,635362.93
5069,3,1242,89406.19
5070,5,1869,74629.079999999973
5071,3,1903,85421.489999999976
5072,3,477,67041.54
5073,2,854,187803.5
5077,1,2197,373998.87
5079,25,279,31854.019999999993
5080,3,2379,287872.29000000004
5081,1,921,93757.640000000043
5082,15,536,63552.990000000013
5086,4,2421,214664.96000000008
5089,4,751,63801.07
5091,4,1950,75266.359999999986
5092,5,2451,99393.890000000014
5094,12,692,107414.56999999998
5096,39,313,55319.239999999983
5097,2,1083,236106.81000000003
5098,2,1587,317760.05999999988
5099,2,948,94483.819999999963
5100,4,933,184370.81999999998
5102,2,8140,3935156.0399999996
5106,1,2032,236729.70999999996
5107,9,2041,67419.84
5108,5,1263,145491.55999999994
5109,14,644,63544.35
5110,15,496,35969.94
5113,3,3361,369392.64000000007
5114,11,509,73572.980000000025
5116,5,1930,247868.69
5117,4,461,48319.95999999997
5118,19,200,19367.929999999993
5120,11,465,52856.390000000021
5126,156,1199,182693.18999999992
5127,2,2665,405016.30000000022
5128,2,1726,254105.09000000005
5131,1,1894,243708.70000000004
5133,4,707,90446.87999999999
